Canvass Unit ID,Segment Order,Route #,Route Segment #,Route Stop Range,Street Key,Street Display,Address Block,Street Side,Stop Count,Segment Color,Segment First Side,Segment Direction,Start Address,End Address
espanola way::block900-999::sideodd::address_loop,1,1,1,1-4,espanola way,Espanola Way,900-999,odd,4,#1f77b4,odd,forward,911 Espanola Way,903 Espanola Way
espanola way::block800-899::sideodd::address_loop,2,1,2,5-8,espanola way,Espanola Way,800-899,odd,4,#ff7f0e,odd,reverse,809 Espanola Way,803 Espanola Way
glenmore cir::block800-899::sideodd::address_loop,3,1,3,9-19,glenmore cir,Glenmore Cir,800-899,odd,11,#2ca02c,odd,forward,805 Glenmore Cir,831 Glenmore Cir
glenmore cir::block800-899::sideeven::address_loop,4,1,4,20-25,glenmore cir,Glenmore Cir,800-899,even,6,#d62728,even,reverse,824 Glenmore Cir,806 Glenmore Cir
hedrick dr::block1600-1699::sideodd::address_loop,5,1,5,26-30,hedrick dr,Hedrick Dr,1600-1699,odd,5,#9467bd,odd,reverse,1615 Hedrick Dr,1601 Hedrick Dr
hedrick dr::block1500-1599::sideodd::address_loop,6,1,6,31-34,hedrick dr,Hedrick Dr,1500-1599,odd,4,#8c564b,odd,reverse,1511 Hedrick Dr,1501 Hedrick Dr
hedrick dr::block1500-1599::sideeven::address_loop,7,1,7,35-38,hedrick dr,Hedrick Dr,1500-1599,even,4,#e377c2,even,forward,1500 Hedrick Dr,1512 Hedrick Dr
hedrick dr::block1600-1699::sideeven::address_loop,8,1,8,39-42,hedrick dr,Hedrick Dr,1600-1699,even,4,#17becf,even,forward,1600 Hedrick Dr,1612 Hedrick Dr
glenmore cir::block900-999::sideodd::address_loop,9,1,9,43-46,glenmore cir,Glenmore Cir,900-999,odd,4,#bcbd22,odd,forward,909 Glenmore Cir,925 Glenmore Cir
glenmore cir::block900-999::sideeven::address_loop,10,1,10,47-55,glenmore cir,Glenmore Cir,900-999,even,9,#393b79,even,reverse,932 Glenmore Cir,910 Glenmore Cir
